"COD_CIUDAD";"DESCRIPCION"
"1";"ASUNCION"
"2";"FERNANDO DE LA MORA"
"3";"LUQUE"
"4";"SAN LORENZO"
"5";"LAMBARE"
"6";"MARIANO ROQUE ALONSO"
"7";"ÑEMBY"
"8";"VILLA ELISA"
"10";"CAPIATA"
"11";"SAN ANTONIO"
"12";"LIMPIO"
"13";"PILAR"
"14";"SAN IGNACIO"
"15";"SAN JUAN BAUTISTA"
"16";"SANTA ROSA"
"17";"CIUDAD DEL ESTE"
"19";"BELLA VISTA"
"20";"CORONEL BOGADO"
"21";"ITA"
"22";"HERNANDARIAS"
"23";"PARAGUARI"
"24";"CAAGUAZU"
"25";"CAACUPE"
"26";"SAN PEDRO DEL PARANA"
"27";"GENERAL ARTIGAS"
"28";"CAPITAN MEZA"
"29";"GENERAL DELGADO"
"30";"TOMAS ROMERO PEREIRA"
"31";"NATALIO"
"32";"LOMA PLATA"
"33";"CAMBYRETA"
"34";"SAN COSME Y DAMIAN"
"35";"MARIA AUXILIADORA"
"36";"NARANJAL"
"38";"CARMEN DEL PARANA"
"39";"ITACURUBI DEL ROSARIO"
"40";"SANTA RITA"
"41";"SAN ALBERTO"
"42";"NATALICIO TALAVERA"
"43";"YEGROS"
"44";"CORONEL OVIEDO"
"45";"PEDRO JUAN CABALLERO"
"46";"YAGUARON"
"47";"MAURICIO JOSE TROCHE"
"48";"SAN JOSE"
"49";"SAPUCAI"
"50";"VALENZUELA"
"51";"CORONEL MARTINEZ"
"52";"HORQUETA"
"53";"CONCEPCION"
"54";"COLONIA J.E. ESTIGARRIBIA"
"56";"TAVAI"
"57";"NUEVA ESPERANZA"
"58";"PIRIBEBUY"
"59";"CAAZAPA"
"60";"PTO.CASADO"
"61";"J.E.ESTIGARRIBIA"
"62";"MINGA PORA"
"63";"YBYCUI"
"64";"GRAL. JOSE E. DIAZ"
"65";"OBLIGADO"
"66";"PUERTO PINASCO"
"67";"CARAGUATAY"
"68";"FULGENCIO YEGROS"
"69";"ITAPUA POTY"
"70";"COLONIA INDEPENDENCIA"
"71";"PIRAPO"
"72";"SAN DIONISIO"
"73";"ITAKYRY"
"75";"SAN RAFAEL DEL PARANA"
"76";"SANTISIMA TRINIDAD"
"77";"CAPITAN MIRANDA"
"78";"EDELIRA"
"79";"JESUS"
"80";"ISLA YRYBY LAURELES"
"81";"PTE. FRANCO"
"82";"ITURBE"
"83";"FRANCISCO CABALLERO ALVAREZ"
"84";"YUTY"
"85";"FEDERICO CHAVEZ"
"86";"DOMINGO ROBLEDO"
"87";"ENCARNACION"
"88";"HOHENAU"
"90";"ÑACUNDAY"
"91";"NARANJITO"
"92";"IRUÑA"
"93";"RAUL PEÑA"
"94";"PATRICIO COLMAN"
"95";"MINGA GUAZU"
"96";"JUAN E OLEARY"
"97";"DOMINGO MARTINEZ DE IRALA"
"98";"SAN CRISTOBAL"
"99";"LOS CEDRALES"
"100";"SAN ESTANISLAO"
"101";"FELIX PEREZ CARDOZO"
"102";"KATUETE"
"103";"MBARACAYU"
"104";"CORPUS CRISTI"
"105";"LA PALOMA"
"106";"PUENTE KYJHA"
"107";"SALTO DEL GUAIRA"
"108";"PUERTO ADELA"
"110";"SAN LAZARO"
"111";"SAN CARLOS"
"112";"BELEN"
"113";"LORETO"
"114";"YBY YAU"
"115";"SAN PEDRO DEL YCUAMANDYYU"
"116";"ANTEQUERA"
"117";"GRAL ELIZARDO AQUINO"
"118";"NUEVA GERMANIA"
"119";"TACUATI"
"120";"UNION"
"121";"25 DE DICIEMBRE"
"122";"VILLA DEL ROSARIO"
"123";"YATAITY DEL NORTE"
"124";"GRAL FRANCISCO ISIDORO RESQUIN"
"125";"CHORE"
"126";"SAN PABLO"
"127";"CAPIIBARY"
"128";"GUAYAIBI"
"129";"STA ROSA DEL AGUARAY"
"130";"YRYBUCUA"
"131";"ALTOS"
"132";"ARROYOS Y ESTEROS"
"133";"ATYRA"
"134";"EMBOSCADA"
"135";"E. AYALA"
"136";"ISLA PUCU"
"137";"ITACURUBI DE LA CORDILLERA"
"138";"NUEVA COLOMBIA"
"139";"1RO DE MARZO"
"140";"SANTA ELENA"
"141";"TOBATI"
"142";"LOMA GRANDE"
"143";"MBOCAYATY DEL YHAGUY"
"144";"JUAN DE MENA"
"145";"BORJA"
"146";"GRAL EUGENIO A GARAY"
"147";"JOSE FASSARDI"
"148";"ITAPE"
"149";"ÑUMI"
"150";"DR BOTRELL"
"151";"PASO YOBAI"
"152";"CARAYAO"
"153";"DOCTOR CECILIO BAEZ"
"154";"NUEVA LONDRES"
"155";"SAN JOAQUIN"
"156";"SAN JOSE DE LOS ARROYOS"
"157";"YHU"
"158";"DOCTOR JUAN MANUEL FRUTOS"
"159";"REPATRIACION"
"160";"SANTA ROSA DEL MBUTUY"
"161";"JOSE DOMINGO OCAMPO"
"162";"R.I 3 CORRALES"
"163";"RAUL A OVIEDO"
"164";"MARISCAL FRANCISCO SOLANO LOPEZ"
"165";"LA PASTORA"
"166";"SIMON BOLIVAR"
"167";"3 DE FEBRERO"
"168";"VAQUERIA"
"169";"BUENA VISTA"
"170";"GENERAL HIGINIO MORINIGO"
"171";"MACIEL"
"172";"DOCTOR MOISES BERTONI"
"173";"SAN JUAN NEPOMUCENO"
"174";"ABAI"
"175";"NUEVA ALBORADA"
"176";"JOSE LEANDRO OVIEDO"
"177";"CARLOS ANTONIO LOPEZ"
"178";"MAYOR JULIO DOMINGO OTAÑO"
"179";"SAN JUAN DEL PARANA"
"180";"YATYTAY"
"181";"ALTO VERA"
"182";"AYOLAS"
"183";"SAN MIGUEL"
"184";"SAN PATRICIO"
"185";"SANTIAGO"
"186";"SANTA MARIA"
"187";"VILLA FLORIDA"
"188";"YABEBYRY"
"189";"ACAHAY"
"190";"CAAPUCU"
"191";"BERNARDINO CABALLERO"
"192";"CARAPEGUA"
"193";"LA COLMENA"
"194";"ESCOBAR"
"195";"MBUYAPEY"
"196";"PIRAYU"
"197";"QUIINDY"
"198";"SAN ROQUE GONZALEZ DE SANTA CRUZ"
"199";"QUYQUYHO"
"200";"TEBICUARYMI"
"201";"YBYTYMI"
"202";"JUAN LEON MALLORQUIN"
"203";"YGUAZU"
"204";"SANTA ROSA DEL MONDAY"
"205";"SANTA FE DEL PARANA"
"206";"AREGUA"
"207";"GUARAMBARE"
"208";"ITAUGUA"
"209";"VILLARRICA"
"210";"NUEVA ITALIA"
"211";"VILLETA"
"212";"YPACARAI"
"213";"YPANE"
"214";"ALBERDI"
"215";"CERRITO"
"216";"DESMOCHADOS"
"217";"GUAZU CUA"
"218";"HUMAITA"
"219";"ISLA UMBU"
"220";"PASO DE PATRIA"
"221";"MAYOR DE JESUS MARTINEZ"
"222";"SAN JUAN BAUTISTA DE ÑEEMBUCU"
"223";"TACUARAS"
"224";"VILLA OLIVA"
"225";"VILLA FRANCA"
"226";"VILLALBIN"
"227";"BELLA VISTA NORTE"
"228";"CAPITAN BADO"
"229";"SAN ISIDRO DEL CURUGUATY"
"230";"VILLA YGATIMI"
"231";"YPEJHU"
"232";"ITANARA"
"233";"YACY CAÑY"
"234";"PEDRO P. PEÑA"
"235";"GRAL IBAÑEZ"
"236";"ITAQURY"
"237";"VILLA HAYES"
"238";"VICENTE A MATIAUDA"
"239";"FUERTE OLIMPO"
"240";"MARISCAL ESTIGARRIBIA"
"241";" JUAN EULOGIO ESTIGARRIBIA"
"242";"BENJAMIN ACEVAL"
"243";"SAN BERNARDINO"
"244";"CURUGUATY"
"245";"PUERTO ELSA"
"246";"FILADELFIA"
"247";"CAPI'I BARY"
"248";"LOMA PYTA"
"249";"ZEBALLOS CUE"
"250";"SAPUKAI"
"251";"SANTANI"
"252";"ROQUE GONZALEZ"
"253";"GRAL. DELGADO"
"254";"J.AUGUSTO SALDIVAR"
"255";"NANAWA"
"256";"CERRO PUNTA"
"257";"JOSE FALCON"
"258";"ACA CARAYA"
"259";"ACARAY"
"260";"ARATICU"
"261";"BARRERO"
"262";"CAACUPEMI"
"263";"CAMPO ACEVAL"
"264";"CAMPO GRANDE"
"265";"CANINDEYU"
"266";"CARMELO PERALTA"
"267";"CARONAY"
"268";"CATUPYRY"
"269";"CERRO CUATIA"
"270";"CERRO MEMBY"
"271";"COLONIA AZOTEY"
"272";"COLONIA BERGTHAL"
"273";"COLONIA GUAVIRA"
"274";"COLONIA RIO VERDE"
"275";"COLONIA MANITOBA"
"276";"COLONIA CURUPAYTY"
"277";"COLONIA FRAM"
"278";"COLONIA FRIESLAND"
"279";"COLONIA MARANGATU"
"280";"COLONIA NEULAND"
"281";"COLONIA PIKYRY"
"282";"COLONIA PIRA PYTA"
"283";"COLONIA TENDAL"
"284";"CORONEL SAPUCAIA"
"285";"LAURELTY"
"286";"MBOCAYATY DEL GUAIRA"
"287";"MONTELINDO"
"288";"PALMA LOMA"
"289";"PASO BARRETO"
"290";"PIRAPEY"
"291";"POZO COLORADO"
"292";"PUERTO PARANAMBU"
"293";" TAVAPY"
"294";"TIROL"
"295";"TENIENTE IRALA FERNANDEZ"
"296";"VALLEMI"
"297";"YATAITY DEL GUAIRA"
"298";"YTORORO"
"299";"YUKYTY"
"300";"ZANJA PYTA"
"301";"COLONIA COOPASAN"
"302";"POZO HONDO"
"303";"YATAY"
"304";"COLONIA MENNO"
"305";"SAN SALVADOR"
"306";"PUERTO CASADO"
"307";"ARROYITO"
"308";"BAHIA NEGRA"
